"Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zonificacion","TipoProteccion","ANP","BuzoMonitor","HoraInicial","HoraFinal","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Abundancia"
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Pharia","pyramidata","Pharia pyramidata",6
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Phataria","unifascialis","Phataria unifascialis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"ND","sp.","Gorgoniidae sp.",12
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Eucidaris","thouarsii","Eucidaris thouarsii",5
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Diadema","mexucanum","Diadema mexicanum",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Hyotissa","hyotis","Hyotissa hyotis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Pharia","pyramidata","Pharia pyramidata",5
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Phataria","unifascialis","Phataria unifascialis",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Heliaster","kubiniji","Heliaster kubiniji",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"ND","sp.","Gorgoniidae sp.",11
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Eucidaris","thouarsii","Eucidaris thouarsii",7
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Hyotissa","hyotis","Hyotissa hyotis",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Asteropsis","carinifera","Asteropsis carinifera",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Pharia","pyramidata","Pharia pyramidata",6
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Phataria","unifascialis","Phataria unifascialis",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Heliaster","kubiniji","Heliaster kubiniji",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"ND","sp.","Gorgoniidae sp.",12
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Eucidaris","thouarsii","Eucidaris thouarsii",16
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Spondylus","limbatus","Spondylus limbatus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","José Torres",NA,NA,10,10,NA,NA,NA,4,"Hyotissa","hyotis","Hyotissa hyotis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Pharia","pyramidata","Pharia pyramidata",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"ND","sp.","Gorgoniidae sp.",5
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Antipathes","galapagensis","Antipathes galapagensis",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Eucidaris","thouarsii","Eucidaris thouarsii",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Chama","sp.","Chama sp.",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Pharia","pyramidata","Pharia pyramidata",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Echinaster","tenuispinus","Echinaster (Othilia) tenuispinus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"ND","sp.","Gorgoniidae sp.",9
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Antipathes","galapagensis","Antipathes galapagensis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Eucidaris","thouarsii","Eucidaris thouarsii",10
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Diadema","mexucanum","Diadema mexicanum",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Pharia","pyramidata","Pharia pyramidata",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Phataria","unifascialis","Phataria unifascialis",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Echinaster","tenuispinus","Echinaster (Othilia) tenuispinus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"ND","sp.","Gorgoniidae sp.",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Eucidaris","thouarsii","Eucidaris thouarsii",10
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Diadema","mexucanum","Diadema mexicanum",11
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Chama","sp.","Chama sp.",6
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Rosario solano",NA,NA,15,15,NA,NA,NA,6,"Acanthaster","planci","Acanthaster planci",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Pharia","pyramidata","Pharia pyramidata",7
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Phataria","unifascialis","Phataria unifascialis",8
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"ND","sp.","Gorgoniidae sp.",9
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Eucidaris","thouarsii","Eucidaris thouarsii",12
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Chama","sp.","Chama sp.",4
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Pharia","pyramidata","Pharia pyramidata",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Eucidaris","thouarsii","Eucidaris thouarsii",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Juan Gabriel García",NA,NA,15,15,NA,NA,NA,3,"Centrostephanus ","coronatus","Centrostephanus coronatus",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Pharia","pyramidata","Pharia pyramidata",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Phataria","unifascialis","Phataria unifascialis",4
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"ND","sp.","Gorgoniidae sp.",6
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Eucidaris","thouarsii","Eucidaris thouarsii",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Chama","sp.","Chama sp.",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Acanthaster","planci","Acanthaster planci",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Pharia","pyramidata","Pharia pyramidata",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Phataria","unifascialis","Phataria unifascialis",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Echinaster","tenuispinus","Echinaster (Othilia) tenuispinus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"ND","sp.","Gorgoniidae sp.",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Antipathes","galapagensis","Antipathes galapagensis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Eucidaris","thouarsii","Eucidaris thouarsii",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Phataria","unifascialis","Phataria unifascialis",4
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"ND","sp.","Gorgoniidae sp.",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Flaviano Pelayo",NA,NA,13.5,13.5,NA,NA,NA,2,"Chama","sp.","Chama sp.",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Pharia","pyramidata","Pharia pyramidata",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Phataria","unifascialis","Phataria unifascialis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"ND","sp.","Gorgoniidae sp.",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Eucidaris","thouarsii","Eucidaris thouarsii",17
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Diadema","mexucanum","Diadema mexicanum",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Isostichopus","fuscus","Isostichopus fuscus",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Phataria","unifascialis","Phataria unifascialis",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"ND","sp.","Gorgoniidae sp.",4
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Antipathes","galapagensis","Antipathes galapagensis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Eucidaris","thouarsii","Eucidaris thouarsii",5
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Diadema","mexucanum","Diadema mexicanum",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Isostichopus","fuscus","Isostichopus fuscus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Phataria","unifascialis","Phataria unifascialis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"ND","sp.","Gorgoniidae sp.",7
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Eucidaris","thouarsii","Eucidaris thouarsii",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Isostichopus","fuscus","Isostichopus fuscus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Ulises Becerra",NA,NA,12.5,12.5,NA,NA,NA,8,"Pinctada","mazatlanica","Pinctada mazatlanica",1
